Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000177989,ODF3B,0.07237362153870393,-3.6510670183602794,1.0667852112333922e-38,0.9110897348799532,3.6510670183602794,1.0667852112333922e-38
ENSG00000273272,U62317.4,0.011247251995879665,-4.058823084748592,5.295813325570212e-39,0.19001413637139536,4.058823084748592,5.295813325570212e-39
ENSG00000272666,U62317.1,0.004727105911311744,-3.633808233284534,1.6999631750818142e-25,0.060557116890505254,3.633808233284534,1.6999631750818142e-25
ENSG00000130487,KLHDC7B,0.059496333021682286,-1.0470511960143245,0.00019200522600485963,0.12312800963960213,1.0470511960143245,0.00019200522600485963
ENSG00000217442,SYCE3,0.0009780219126851882,-1.8702257132558362,0.004923531109349729,0.0040275517171832476,1.8702257132558362,0.004923531109349729
ENSG00000205560,CPT1B,0.024450547817129707,-0.8849756490378917,0.015719526244039037,0.045309956818311535,0.8849756490378917,0.015719526244039037
ENSG00000100288,CHKB,0.28770144598155956,-0.21074955052663835,0.5572507868225234,0.33299222233140063,0.21074955052663835,0.5572507868225234
ENSG00000205559,CHKB-DT,0.05069413580751559,0.45457532325312666,0.18758535712276708,0.03696717111843195,-0.45457532325312666,0.18758535712276708
ENSG00000272940,U62317.3,0.0,-0.8195996401858672,1.0,0.00014384113275654455,0.8195996401858672,1.0
ENSG00000008735,MAPK8IP2,0.0013040292169135843,-1.4045621409070232,0.10927203775376591,0.0037398694516701586,1.4045621409070232,0.10927203775377345
ENSG00000100299,ARSA,0.13839010064495413,-0.7791516184531169,0.0054064959423376305,0.2376255513138116,0.7791516184531169,0.0054064959423376305
ENSG00000251322,SHANK3,0.00032600730422839607,1.765362860535289,0.4306282723518587,0.0,-1.765362860535289,0.4306282723518587
ENSG00000079974,RABL2B,0.16137361559305607,0.6017601464843083,0.037835205217160064,0.10629859710708643,-0.6017601464843083,0.037835205217160064
ENSG00000182378,PLCXD1,0.056073256327284125,0.11899981514998981,0.8024021923376606,0.051638966659599495,-0.11899981514998981,0.8024021923376606
ENSG00000178605,GTPBP6,0.381917556903566,0.3124364470713361,0.33098658644093887,0.30753234183349226,-0.3124364470713361,0.33098658644093887
ENSG00000226179,LINC00685,0.150615374553519,0.5338640281346017,0.07815477115916278,0.10399713898298171,-0.5338640281346017,0.07815477115916278
ENSG00000167393,PPP2R3B,0.08557691735995397,1.3124287534979167,5.627484855071376e-06,0.03437803072881415,-1.3124287534979167,5.627484855071376e-06
ENSG00000281849,AL732314.6,0.0006520146084567921,-0.08263404601966151,1.0,0.0007192056637827228,0.08263404601966151,1.0
ENSG00000280767,AL732314.4,0.0009780219126851882,1.4027927811505805,0.29806422616740913,0.0002876822655130891,-1.4027927811505805,0.29806422616740913
ENSG00000185960,SHOX,0.0,-1.4045621409070232,0.6415316365340544,0.0002876822655130891,1.4045621409070232,0.6415316365340544
ENSG00000237531,AL672277.1,0.004238094954969149,0.6133597670902375,0.5635456495248987,0.0027329815223743467,-0.6133597670902375,0.563545649524858
ENSG00000205755,CRLF2,0.00032600730422839607,-1.0419920615223166,0.47072787498857976,0.0008630467965392673,1.0419920615223166,0.47072787498857976
